id_client;id_group;city;nflag_purchase;time_came
24360208;0;Moscow;1;21.10.2021
24360925;1;Moscow;1;16.10.2021
24357607;1;Saint-Petersbourg;0;09.01.2021
24362041;0;Saint-Petersbourg;0;25.01.2020
24360773;1;Novosibirsk;0;03.04.2021
24360863;1;Novosibirsk;1;20.08.2021
24357361;0;Novosibirsk;0;30.03.2021
24358603;0;Moscow;0;12.10.2021
24358756;0;Saint-Petersbourg;0;24.03.2021
24357685;0;Kazan;0;25.03.2020
24358724;1;Kazan;0;06.12.2020
24361277;1;Kazan;0;03.11.2021
24357242;1;Saint-Petersbourg;1;10.12.2021
24357997;1;Moscow;0;16.01.2021
24362461;1;Moscow;0;19.09.2021
24358379;1;Saint-Petersbourg;1;28.01.2021
24359851;0;Moscow;0;18.07.2020
24360714;0;Saint-Petersbourg;0;26.03.2021
24361011;1;Kazan;1;01.07.2020
24359747;1;Kazan;0;01.02.2020
24360906;1;Saint-Petersbourg;0;12.01.2021
24358741;0;Saint-Petersbourg;0;22.08.2020
24359026;1;Moscow;0;17.09.2021
24357707;0;Kazan;0;12.01.2020
24359057;0;Saint-Petersbourg;0;27.11.2021
24361398;1;Saint-Petersbourg;0;04.09.2020
24363028;0;Vladivostok;0;03.01.2021
24357576;0;Moscow;1;01.02.2021
24359776;1;Moscow;0;17.12.2020
24359901;0;Moscow;0;13.04.2021
24362747;1;Vladivostok;1;22.10.2020
24359109;0;Saint-Petersbourg;0;01.04.2020
24359378;1;Saint-Petersbourg;0;11.10.2021
24358592;1;Saint-Petersbourg;1;13.10.2020
24358377;1;Saint-Petersbourg;0;11.05.2020
24363077;0;Vladivostok;1;20.08.2021
24361060;0;Moscow;0;19.03.2021
24358730;0;Saint-Petersbourg;0;09.03.2021
24361463;0;Saint-Petersbourg;0;09.10.2021
24362730;0;Vladivostok;1;26.11.2020
24362674;1;Moscow;1;03.06.2020
24358278;1;Moscow;0;27.02.2021
24360631;1;Kazan;1;18.07.2020
